ID,Time,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
192,166179,0,0,0,0,0,1,0,0
192,166199,0,0,0,0,1,0,0,0
11,166200,0,41,,,,,,
192,166209,243,0,0,0,0,1,0,0
12,166224,3,17,,,,,,
192,166239,137,1,0,0,0,1,0,0
11,166249,0,42,,,,,,
15,166249,1,,,,,,,
192,166269,24,2,0,0,0,1,0,0
12,166299,3,18,,,,,,
11,166299,0,42,,,,,,
192,166300,163,2,0,0,0,1,0,0
192,166329,46,3,0,0,0,1,0,0
192,166349,0,0,0,0,0,0,0,0
11,166350,0,40,,,,,,
15,166350,1,,,,,,,
192,166359,192,3,0,0,0,1,0,0
12,166374,3,18,,,,,,
192,166389,86,4,0,0,0,1,0,0
11,166399,0,39,,,,,,
192,166419,233,4,0,0,0,1,0,0
15,166449,1,,,,,,,
11,166449,0,40,,,,,,
12,166450,3,18,,,,,,
192,166450,100,5,0,0,0,1,0,0
192,166479,209,5,0,0,0,1,0,0
11,166499,0,40,,,,,,
192,166509,56,6,0,0,0,1,0,0
12,166524,3,18,,,,,,
192,166539,158,6,0,0,0,1,0,0
192,166549,0,0,0,0,1,0,0,0
11,166550,0,42,,,,,,
15,166550,1,,,,,,,
192,166569,5,7,0,0,0,1,0,0
192,166599,93,7,0,0,0,1,0,0
11,166600,0,39,,,,,,
12,166600,3,18,,,,,,
192,166600,0,0,0,0,0,0,0,0
192,166629,172,7,0,0,0,1,0,0
192,166649,0,0,0,0,1,0,0,0
11,166650,0,41,,,,,,
15,166650,1,,,,,,,
192,166659,231,7,0,0,0,1,0,0
12,166674,3,18,,,,,,
192,166689,18,8,0,0,0,1,0,0
192,166699,0,0,0,0,0,0,0,0
11,166700,0,39,,,,,,
192,166719,73,8,0,0,0,1,0,0
192,166749,107,8,0,0,0,1,0,0
11,166750,0,41,,,,,,
12,166750,3,18,,,,,,
15,166750,1,,,,,,,
192,166751,0,0,0,0,1,0,0,0
192,166779,105,8,0,0,0,1,0,0
192,166799,0,0,0,0,0,0,0,0
11,166800,0,40,,,,,,
192,166809,105,8,0,0,0,1,0,0
12,166824,3,17,,,,,,
192,166839,102,8,0,0,0,1,0,0
192,166849,0,0,0,0,1,0,0,0
11,166850,0,41,,,,,,
15,166850,1,,,,,,,
192,166869,55,8,0,0,0,1,0,0
192,166899,189,7,0,0,0,1,0,0
11,166900,0,42,,,,,,
12,166900,3,18,,,,,,
192,166929,28,7,0,0,0,1,0,0
192,166949,0,0,0,0,0,0,0,0
11,166950,0,39,,,,,,
15,166950,1,,,,,,,
192,166959,105,6,0,0,0,1,0,0
12,166974,3,17,,,,,,
192,166989,182,5,0,0,0,1,0,0
11,166999,0,37,,,,,,
192,167019,236,4,0,0,0,1,0,0
11,167049,0,38,,,,,,
12,167049,3,17,,,,,,
15,167050,1,,,,,,,
192,167050,21,4,0,0,0,1,0,0
192,167079,78,3,0,0,0,1,0,0
11,167099,0,38,,,,,,
192,167109,133,2,0,0,0,1,0,0
12,167124,3,17,,,,,,
192,167139,199,1,0,0,0,1,0,0
192,167149,0,0,0,0,1,0,0,0
11,167150,0,41,,,,,,
15,167150,1,,,,,,,
192,167169,241,0,0,0,0,1,0,0
192,167199,0,0,0,0,0,1,0,0
11,167200,0,39,,,,,,
12,167200,3,18,,,,,,
192,167200,0,0,0,0,0,0,0,0
192,167229,0,0,0,0,0,1,0,0
15,167249,1,,,,,,,
11,167249,0,39,,,,,,
192,167259,0,0,0,0,0,1,0,0
12,167274,3,17,,,,,,
192,167289,0,0,0,0,0,1,0,0
192,167299,0,0,0,0,1,0,0,0
11,167300,0,41,,,,,,
192,167319,0,0,0,0,0,1,0,0
192,167349,0,0,0,0,0,1,0,0
11,167350,0,40,,,,,,
12,167350,3,16,,,,,,
15,167350,1,,,,,,,
192,167351,0,0,0,0,0,0,0,0
192,167379,0,0,0,0,0,1,0,0
192,167399,0,0,0,0,1,0,0,0
11,167400,0,43,,,,,,
192,167409,0,0,0,0,0,1,0,0
12,167424,3,18,,,,,,
192,167439,0,0,0,0,0,1,0,0
15,167449,1,,,,,,,
11,167449,0,38,,,,,,
192,167450,0,0,0,0,0,0,0,0
192,167469,0,0,0,0,0,1,0,0
192,167499,0,0,0,0,0,1,0,0
11,167500,0,40,,,,,,
12,167500,3,18,,,,,,
192,167529,0,0,0,0,0,1,0,0
15,167549,1,,,,,,,
11,167549,0,41,,,,,,
192,167550,0,0,0,0,1,0,0,0
192,167559,0,0,0,0,0,1,0,0
12,167574,3,17,,,,,,
192,167589,0,0,0,0,0,1,0,0
192,167599,0,0,0,0,0,0,0,0
11,167600,0,37,,,,,,
192,167619,194,0,0,0,0,1,0,0
11,167649,0,40,,,,,,
12,167649,3,18,,,,,,
15,167650,1,,,,,,,
192,167650,62,1,0,0,0,1,0,0
192,167679,192,1,0,0,0,1,0,0
11,167699,0,39,,,,,,
192,167709,43,2,0,0,0,1,0,0
12,167724,3,18,,,,,,
192,167739,238,2,0,0,0,1,0,0
11,167749,0,40,,,,,,
15,167749,1,,,,,,,
192,167769,197,3,0,0,0,1,0,0
192,167799,131,4,0,0,0,1,0,0
11,167800,0,36,,,,,,
12,167800,3,17,,,,,,
192,167829,22,5,0,0,0,1,0,0
192,167849,0,0,0,0,1,0,0,0
11,167850,0,42,,,,,,
15,167850,1,,,,,,,
192,167859,127,5,0,0,0,1,0,0
12,167874,3,18,,,,,,
192,167889,206,5,0,0,0,1,0,0
11,167899,0,41,,,,,,
192,167919,42,6,0,0,0,1,0,0
192,167949,0,0,0,0,0,0,0,0
11,167950,0,40,,,,,,
12,167950,3,18,,,,,,
15,167950,1,,,,,,,
192,167951,129,6,0,0,0,1,0,0
192,167979,233,6,0,0,0,1,0,0
11,167999,0,38,,,,,,
192,168009,83,7,0,0,0,1,0,0
12,168024,3,17,,,,,,
192,168039,195,7,0,0,0,1,0,0
192,168049,0,0,0,0,1,0,0,0
11,168050,0,42,,,,,,
15,168050,1,,,,,,,
192,168069,29,8,0,0,0,1,0,0
192,168099,78,8,0,0,0,1,0,0
11,168100,0,39,,,,,,
12,168100,3,18,,,,,,
192,168100,0,0,0,0,0,0,0,0
192,168129,112,8,0,0,0,1,0,0
15,168149,1,,,,,,,
11,168149,0,38,,,,,,
192,168159,120,8,0,0,0,1,0,0
12,168174,3,17,,,,,,
192,168189,120,8,0,0,0,1,0,0
192,168199,0,0,0,0,1,0,0,0
11,168200,0,42,,,,,,
192,168219,120,8,0,0,0,1,0,0
192,168249,115,8,0,0,0,1,0,0
11,168250,0,38,,,,,,
12,168250,3,17,,,,,,
15,168250,1,,,,,,,
192,168251,0,0,0,0,0,0,0,0
192,168279,110,8,0,0,0,1,0,0
192,168299,0,0,0,0,1,0,0,0
11,168300,0,42,,,,,,
192,168309,23,8,0,0,0,1,0,0
12,168324,3,18,,,,,,
192,168339,140,7,0,0,0,1,0,0
15,168349,1,,,,,,,
11,168349,0,39,,,,,,
192,168350,0,0,0,0,0,0,0,0
192,168369,219,6,0,0,0,1,0,0
12,168399,3,18,,,,,,
11,168399,0,40,,,,,,
192,168400,63,6,0,0,0,1,0,0
192,168429,141,5,0,0,0,1,0,0
11,168449,0,39,,,,,,
15,168449,1,,,,,,,
192,168459,202,4,0,0,0,1,0,0
12,168474,3,18,,,,,,
192,168489,26,4,0,0,0,1,0,0
11,168499,0,40,,,,,,
192,168519,116,3,0,0,0,1,0,0
192,168549,222,2,0,0,0,1,0,0
11,168550,0,41,,,,,,
12,168550,3,17,,,,,,
15,168550,1,,,,,,,
192,168551,0,0,0,0,1,0,0,0
192,168579,66,2,0,0,0,1,0,0
